condition,family,seed,method,actual_estimator,status,age,truth,fitted_rate_sd,rate_variance_estimated,interval_status,interval_available,lower,upper,width,covered
t4-s2000-sd03,48,91300048,studentized,joint-map,completed,20.71763908096584,20.0,0.1921248551318724,True,conditional-studentized-curvature,True,15.355826558580835,30.1682637206282,14.812437162047363,True
t4-s2000-sd03,49,91300049,laplace,joint-map,completed,18.46308435026044,20.0,0.224403337646546,True,conditional-laplace,True,14.984393248263236,21.94177545225764,6.957382203994403,True
t4-s2000-sd03,49,91300049,studentized,joint-map,completed,18.46308435026044,20.0,0.224403337646546,True,conditional-studentized-curvature,True,13.820665950206308,27.594743596482168,13.77407764627586,True
t4-s2000-sd03,50,91300050,laplace,joint-map,completed,18.090078629959507,20.0,0.3028959606187753,True,conditional-laplace,True,13.735290015707276,22.44486724421174,8.709577228504465,True
t4-s2000-sd03,50,91300050,studentized,joint-map,completed,18.090078629959507,20.0,0.3028959606187753,True,conditional-studentized-curvature,True,12.840091991584522,30.73597823240245,17.89588624081793,True
t4-s2000-sd03,51,91300051,laplace,joint-map,completed,20.503390949918074,20.0,0.2321209608165494,True,conditional-laplace,True,16.077524622999746,24.9292572768364,8.851732653836656,True
t4-s2000-sd03,51,91300051,studentized,joint-map,completed,20.503390949918074,20.0,0.2321209608165494,True,conditional-studentized-curvature,True,14.612439743969466,31.981327017555422,17.368887273585955,True
t4-s2000-sd03,52,91300052,laplace,joint-map,completed,20.267953631287085,20.0,0.1564554700915979,True,conditional-laplace,True,17.128383057772943,23.40752420480122,6.279141147028277,True
t4-s2000-sd03,52,91300052,studentized,joint-map,completed,20.267953631287085,20.0,0.1564554700915979,True,conditional-studentized-curvature,True,15.684864262070146,27.767294537243718,12.082430275173568,True
t4-s2000-sd03,53,91300053,laplace,joint-map,completed,21.39882889679067,20.0,0.3002137467824666,True,conditional-laplace,True,15.345199881136002,27.452457912445336,12.107258031309334,True
t4-s2000-sd03,53,91300053,studentized,joint-map,completed,21.39882889679067,20.0,0.3002137467824666,True,conditional-studentized-curvature,True,13.988757517195047,38.08061680486097,24.09185928766593,True
t4-s2000-sd03,54,91300054,laplace,joint-map,completed,22.371803525396285,20.0,0.364776708844745,True,conditional-laplace,True,14.49586233408107,30.2477447167115,15.751882382630432,True
t4-s2000-sd03,54,91300054,studentized,joint-map,completed,22.371803525396285,20.0,0.364776708844745,True,conditional-studentized-curvature,True,13.456749757722744,44.98458320584152,31.52783344811878,True
t4-s2000-sd03,55,91300055,laplace,joint-map,completed,20.815116196687036,20.0,0.4849809494300641,True,conditional-laplace,True,11.73314356833644,29.897088825037628,18.16394525670119,True
t4-s2000-sd03,55,91300055,studentized,joint-map,completed,20.815116196687036,20.0,0.4849809494300641,True,conditional-studentized-curvature,True,12.00754176495915,50.48506737075617,38.47752560579702,True
t4-s2000-sd03,56,91300056,laplace,joint-map,completed,19.708123057627567,20.0,0.233602369897957,True,conditional-laplace,True,15.59273873557859,23.823507379676546,8.230768644097951,True
t4-s2000-sd03,56,91300056,studentized,joint-map,completed,19.708123057627567,20.0,0.233602369897957,True,conditional-studentized-curvature,True,14.25369766264845,30.485680052347924,16.231982389699475,True
t4-s2000-sd03,57,91300057,laplace,marginal,completed,17.129721422455642,20.0,0.1712083753097071,True,conditional-laplace,True,14.758535289773445,19.50090755513784,4.742372265364395,False
t4-s2000-sd03,57,91300057,studentized,marginal,completed,17.129721422455642,20.0,0.1712083753097071,True,conditional-studentized-curvature,True,13.490729700246682,23.95051471143976,10.459785011193077,True
